问题id,问题,FA
112,上海真兰仪表科技股份有限公司实际持有的罗德精密的初始工商登记发起人有哪些？,上海真兰仪表科技股份有限公司实际持有的罗德精密的初始工商登记发起人为唐建荣、汪顺来和叶小容。
113,华瑞电器股份有限公司，宁波胜克2016年度实现净利润为多少万元？,完全基于您提供的信息，我们无法准确回答您的问题。
121,在2010年，东莞勤上光电股份有限公司在户外半导体照明领域的市场占有率为多少？,2010年，东莞勤上光电股份有限公司在户外半导体照明领域的市场占有率是15.31%。
125,报告期内，汉嘉设计集团股份有限公司期末应收账款相对较高的原因是什么？,"根据给定材料，汉嘉设计集团股份有限公司期末应收账款相对较高的原因是因为： 
1. 房地产行业存在波动，导致项目周期延长；
2. 客户付款审批流程较长，且受上级政府或主管部门拨款情况等相关因素影响；
3. 公司提供设计服务的项目建设周期较长，容易受规划调整、市场调控等因素影响，导致建设周期延长。"
126,上海真兰仪表科技股份有限公司2020年增资后的投后估值是多少？,2020年增资后的投后估值为13.99亿元。
129,截至2020年12月31日，湖南长远锂科股份有限公司的控股股东是谁？通过何种方式持有公司多少股权？,截至2020年12月31日，湖南长远锂科股份有限公司的控股股东是五矿股份，通过直接或间接方式持有公司超过50%股权。
131,深圳市铁汉生态环境股份有限公司的主营业务是什么？,深圳市铁汉生态环境股份有限公司的主营业务是生态环境建设工程施工，包括生态修复及园林绿化两个领域。
132,深圳市超频三科技股份有限公司生产产品所需的主要直接材料有哪些？,给定材料中没有明确提到深圳市超频三科技股份有限公司生产产品所需的主要直接材料是什么。
133,报告期内，确成硅化学股份有限公司对外销售的部分硫酸产品是什么规格？,根据给定材料，无法确定确成硅化学股份有限公司对外销售的部分硫酸产品是什么规格。
134,森赫电梯股份有限公司与哪些高等教育机构开展合作？,"森赫电梯股份有限公司与哪些高等教育机构开展合作？
根据给定材料，无法找到与高等教育机构合作的具体信息。"
135,西安启源机电装备股份有限公司董事是谁？,西安启源机电装备股份有限公司的董事包括赵友安、许继集团有限公司、西安保德信投资发展有限责任公司、西安中电变压整流器厂等四家法人以及王哲、赵刚两位自然。
140,南京中电联环保股份有限公司的经营范围是？,南京中电联环保股份有限公司的经营范围包括环保、电力、化工、水处理设备的研发、设计、制造、系统集成及销售；自动控制、计算机软件、仪器仪表研发、设计、系统集成及销售；工程总承包、施工、安装、调试、技术服务及设备运营；高科技产业投资。
144,青海互助青稞酒股份有限公司的主营业务是什么？,青海互助青稞酒股份有限公司的主营业务是青稞酒的研发、生产、销售，主要产品含互助、天佑德、八大作坊、永庆和等系列。
146,湖南国科微电子股份有限公司业务分为哪些产品线？,"湖南国科微电子股份有限公司业务分为以下产品线：
1. 集成电路设计
2. 智能安全芯片
3. 视频监控芯片
4. 存储器芯片"
148,珠海健帆生物科技股份有限公司的核心技术产品有哪些？,珠海健帆生物科技股份有限公司是一家致力于研发、生产及销售血液净化相关产品的高科技企业，主要核心技术产品包括一次性使用血液透析浓缩液、一次性使用血液灌流器、血液灌流机等。此外，该公司还提供血液透析机、血浆置换设备等产品的代理销售服务。
149,湖南长远锂科股份有限公司所属细分子行业是什么？,湖南长远锂科股份有限公司所属细分子行业为锂电池行业。
155,浙江开尔新材料股份有限公司主要消耗的能源是什么？,浙江开尔新材料股份有限公司主要消耗的能源是电力，由金华市用电管理所供应，电力供应充足稳定。
157,云南沃森生物技术股份有限公司的第一个产品是什么？何时上市？,云南沃森生物技术股份有限公司的第一个产品是 Hib 和冻干 A、C 群脑膜炎球菌多糖结合疫苗 2 个产品，其中 Hib 已于 2009 年 2 月获得注册批件批准生产，分别为国药准字 S20090006 和国药准字 S20090007，并于 2009 年 6 月通过 GMP 认证（证书编号 K4924）正式投产。
160,湖南南岭民用爆破器材股份有限公司技术中心现有多少研发人员？其中具有高级职称和中级职称的人员分别有多少人？,湖南南岭民用爆破器材股份有限公司技术中心现有研发人员38人，其中具有高级职称人员6人，中级职称18人。
163,常熟风范电力设备股份有限公司的主营业务是什么？是否在报告期内发生重大变化？,常熟风范电力设备股份有限公司的主营业务是输变电铁塔等的生产与销售。在2009年至2010年间，该公司的主营业务没有发生重大变化。
164,联化科技股份有限公司目前的主要产品是什么？,联化科技股份有限公司目前的主要产品是农药中间体和染料中间体。
165,依据招股意向书，常熟风范电力设备股份有限公司本次发行股票数量是多少？,依据招股意向书，常熟风范电力设备股份有限公司本次发行股票数量为16470万股。
166,请查询在2019年度，002093股票涨停天数？解释：（收盘价/昨日收盘价-1）》=9.8%视作涨停,002093股票在2019年度共计涨停19次，计算方法为（收盘价/昨日收盘价-1）=9.8%，满足涨停条件。
169,根据大连派思燃气系统股份有限公司招股意向书，预计到2030年，天然气发电用气在天然气消费结构中的比例将上升到多少？,预计到2030年，天然气发电用气在天然气消费结构中的比例将上升到35%。
171,青海互助青稞酒股份有限公司主要困难是什么？,"根据给定材料，青海互助青稞酒股份有限公司面临以下主要困难：

  1. 行业政策风险：公司产品属于白酒行业，而根据国家发改委《产业结构调整指导目录（2011年本）》，白酒生产线被列入“限制类”。因此，如果国家对现行白酒产业政策进行重大调整，如通过税收、土地、广告宣传、价格等方面的调控手段对白酒生产与消费进行限制，将会对公司的生产经营产生不利影响。
  2. 竞争激烈风险：尽管公司是中国最大的青稞酒生产企业，但随着消费者口味的多样化和市场竞争的加剧，公司面临着来自其他类型酒的竞争压力。
  3. 地理环境和社会经济风险：公司所在的青海省地理位置偏僻，社会经济发展程度相对落后，这可能会影响公司的市场营销和物流配送等方面的工作。
  4. 自然灾害风险：青海省地处地震带上，存在发生自然灾害的可能性，如发生大地震等自然灾害，可能会对公司的生产经营造成一定的影响。

综合来看，青海互助青稞酒股份有限公司面临着多种困难，需要采取相应的措施来应对这些挑战。"
172,广州中海达卫星导航技术股份有限公司的子公司中海达测绘的主营业务是什么？,中海达测绘的主营业务是高精度卫星导航定位系统（GNSS）软硬件产品的研发、生产、销售，提供基于高精度GNSS 技术的系统工程解决方案及相关服务。
174,兰州海默科技股份有限公司的主营业务有何季节性特征？,兰州海默科技股份有限公司的主营业务呈明显的季节性特征，即上半年形成的主营业务收入和净利润明显低于下半年的金额，占全年营业收入和净利润的比重较小。其主要原因有两点：一是公司的主要客户为国内外知名的大型石油公司，这些客户普遍实行预算管理制度，每年的第一季度是石油公司审批预算和制订采购计划的时间，招标、采购活动较少，因此形成本公司销售的淡季；二是本公司多相流量计产品实行根据客户需求“量身定制”和“以销定产”的经营模式，除部分常规材料、低压力等级的产品外，其他产品生产周期均较长，尤其是使用特殊材料（如高等级合金钢）以及高压力等级产品的生产周期更长。一般一季度和二季度是公司获得订单和进行生产准备的时间，产品交货期及确认收入集中在下半年特别是第四季度，因此也使得公司上半年的收入比重小。
175,汉嘉设计集团股份有限公司法定代表人是谁？,汉嘉设计集团股份有限公司法定代表人为岑政平。
179,湖南国科微电子股份有限公司的主营业务是什么？,湖南国科微电子股份有限公司的主营业务包括广播电视系列芯片和智能监控系列芯片的研发、销售和技术服务。其产品具有较高的性价比，形成了较为明显的领先优势。目前，公司已成为国内广播电视系列芯片和智能监控系列芯片的主流供应商之一。
182,江苏爱康太阳能科技股份有限公司拥有的参股子公司是哪些？,"经营范围: 生产、销售：太阳能电池及组件、太阳能光伏发电系统、太阳能发电专用设备、分布式交流电源、汇流箱、并网柜、控制器、逆变器、光伏支架、光伏线缆、铝边框、钢边框、 EVA 胶膜、其他太阳能辅料、非金属制品模具、五金冲压件、机械零部件、电子产品;自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）

(二) 报告期内的主要财务数据和财务指标

单位:万元


合金）

；三、核心技术及特点

公司自成立以来就十分注重技术研发，具有较强的核心竞争力。

1、公司在行业中具有较高的技术水平

公司现拥有多项专利技术，并且多项专利技术正在申请过程中。其中，在组件方面，公司开发了针对屋顶分布式发电系统的全黑组件和彩色组件，满足了用户对美观的要求；在电池片方面，公司成功研发了 PERC 单晶高效电池，并具备批量生产能力；在组件封装技术方面，公司研发了半片组件、双玻组件、柔性组件等多种新型组件，并已实现批量生产。

2、公司在行业中具有较强的市场地位

作为国内最早进入光伏行业的企业之一，公司凭借多年的行业经验和优秀的营销团队，积极开拓国内外市场，产品远销海内外，市场占有率逐年提高。同时，公司凭借自身的技术优势，能够满足客户个性化的需求，为公司赢得了良好的口碑，并与多家优质客户建立了长期合作关系。

3、公司具备较强的供应链整合能力"
184,西安启源机电装备股份有限公司专用设备销售价格波动的主要原因是什么？,价格波动较大主要是因为市场竞争激烈，产品销售价格比较透明，可供客户选择的供应商较多。同时，公司产品所需原材料价格波动也对产品销售价格产生了一定的影响。此外，产品的具体型号、配置、性能、售后服务等因素也会对产品销售价格产生一定的影响。
185,从长期来看，影响烟台杰瑞石油服务集团股份有限公司所处行业景气程度的因素有哪些？,"从长期来看，影响烟台杰瑞石油服务集团股份有限公司所处行业景气程度的因素有：
1. 全球的GDP增长率；
2. 石油天然气的供需状况变化；
3. 全球石油勘探开发支出。"
186,北京天宜上佳高新材料股份有限公司外购件有哪些？,根据材料，北京天宜上佳高新材料股份有限公司外购件没有明确的信息说明。
189,浙江双飞无油轴承股份有限公司目前的主要产品应用在哪些下游领域？,浙江双飞无油轴承股份有限公司目前的主要产品应用在汽车制造、工程机械、模具制造及液压设备等机械制造领域。此外，自润滑轴承在房屋、桥梁等建筑物的减震、防震、防胀设施也拥有很大应用空间。
194,昇兴集团股份有限公司的主要产品是什么？其主要原材料是什么？,昇兴集团股份有限公司的主要产品是金属包装产品，主要包括易拉罐（包括两片罐、三片罐）、气雾罐（薄钢板制成的药用罐、杀虫剂罐、化妆品罐、工业和家居护理等）、食品罐（糖果罐、奶粉罐、烟酒食品罐等）、印铁制品（听、盒）和各类瓶盖（皇冠盖、旋开盖、铝防伪瓶盖、指压保险盖）。其主要原材料包括马口铁、铝材、易拉盖等。
197,新疆浩源天然气股份有限公司从事的业务具有较为明显的区域性特征，主要体现在什么方面？,新疆浩源天然气股份有限公司从事的业务具有较为明显的区域性特征，主要体现在以下两个方面：（1）行业周期性特征：天然气的使用与居民的生活紧密相关，属于居民的基本消费，随着经济发展和生活水平的提高，天然气的使用量保持平稳增长，没有明显的周期性特征。尤其是天然气作为一种清洁高效能源，得到各地政府的大力推广，气化区域以及气化率水平不断提高，将促进天然气使用量的不断增长。（2）行业区域性特征：天然气长输管网业务具有较为明显的区域性特征，主要体现如下：①区域经济的发展，有利于天然气产业市场的培育，可以促进市场开发；区域经济发展越好，天然气需求越大，天然气产业发展的基础越好；②区域内气源产地的距离，直接影响到天然气管道的长度以及建设规模，并最终影响管道的经济效益。
199,宁波立立电子股份有限公司本次发行多少股？,"宁波立立电子股份有限公司计划本次发行2,600万股。"
202,大连派思燃气系统股份有限公司在哪些年份获得了美国GE公司的奖项？,大连派思燃气系统股份有限公司在2008年和2010年两年间获得了美国GE公司的奖项，分别是最佳新供货商奖和最佳供货质量奖。
206,森赫电梯股份有限公司境外销售的获客方式有哪些？,检索不通，无法回答。
207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,"根据给定材料，武汉兴图新科电子股份有限公司计划使用本次发行募集资金的 15,000 万元用于补充流动资金。"
208,烟台杰瑞石油服务集团股份有限公司在成立以来业务范围如何扩展？,经过多年的市场开拓，烟台杰瑞石油服务集团股份有限公司的业务范围由油田矿山设备维修与零配件销售扩展至油田专用设备制造与油田技术服务。
209,截至本招股意向书签署日，浙江开尔新材料股份有限公司的全资子公司是哪些？,根据给定材料，浙江开尔新材料股份有限公司的全资子公司包括合肥翰林搪瓷有限公司。
215,针对欧盟的REACH法规，联化科技股份有限公司计划采取哪些应对措施？,"联化科技股份有限公司计划采取如下应对措施:
1. 与欧盟进口方协商，由欧盟进口方负责产品注册；
2. 公司与国内同类工厂联合注册，共同承担费用；
3. 指定一个欧盟的唯一代理注册。此外，公司也将及时跟踪相关信息，届时将根据成本和效益原则，确定需要预注册的产品。"
217,在燃煤电厂脱硫工程、空气预热器领域，除浙江开尔新材料股份有限公司外，还有哪些主要的竞争企业？,在燃煤电厂脱硫工程、空气预热器领域，除浙江开尔新材料股份有限公司外，还有佛山唯艺和葆利昌这两家企业。
220,根据招股意向书，预计昇兴集团股份有限公司2015年1-3月实现净利润的范围是？,"根据给定材料，预计昇兴集团股份有限公司2015年1-3月实现净利润的范围是2,770万元至3,180万元，同比增长35%至55%。"
222,2012年、2013年、2014年，昇兴集团股份有限公司应收账款周转率分别为多少？,2012年、2013年、2014年，昇兴集团股份有限公司应收账款周转率分别为7.57、9.40、8.52。
226,宁波立立电子股份有限公司实际控制人是谁？,企业家精神就在这些不起眼的地方。比如说，我们当时要做一个项目，要到很偏僻的地方去找资料。有一次，我跟我的同事去了一个地方，那个地方非常穷，穷得连自行车都没有。但我们还是坚持去了解情况，最后找到了一些很好的资料。这就是企业家精神，就是要不断地去寻找机会，不断地去尝试新的东西。
230,报告期内大博医疗科技股份有限公司涉诉产品销售收入占公司总营收的比例是多少？,根据给定材料，大博医疗科技股份有限公司涉诉产品销售收入占其总营收的比例分别为0.67%、0.36%、0.40%和0.20%，占比较低，不会对公司的经营业务造成重大影响。
231,深圳市超频三科技股份有限公司募集资金的散热器生产基地建设项目建设地在哪里？,深圳市超频三科技股份有限公司募集资金的散热器生产基地建设项目建设地在广东省惠州市东江高新科技产业园。
239,南京中电联环保股份有限公司科研带头人是？,根据给定材料，南京中电联环保股份有限公司的科研带头人为王政福。
240,湖南南岭民用爆破器材股份有限公司拥有的核心技术有哪些？,湖南南岭民用爆破器材股份有限公司拥有的核心技术主要包括在长期的生产中探索出的配方、工艺条件控制等非专利技术及与南京理工大学、长沙矿冶研究院等科研机构合作开发的设备及工艺技术。此外，还包括公司的专利技术。
243,森赫电梯股份有限公司产品生产材料是什么？,检索材料发现，森赫电梯股份有限公司产品生产材料包括井道部件、曳引机、层门装置、电缆等。
244,本次新疆浩源天然气股份有限公司募集资金投资项目有哪些？,新疆浩源天然气股份有限公司本次募集资金投资项目包括：阿克苏市天然气综合利用二期工程项目、阿克苏纺织工业城天然气利用工程项目和喀什地区巴楚县天然气利用工程项目。
246,在本招股意见书签署的未来两年，新疆浩源天然气股份有限公司在城市管网总长度方面将主要完成的经营目标是什么？,根据给定材料，无法找到关于“在未来两年，新疆浩源天然气股份有限公司在城市管网总长度方面将主要完成的经营目标是什么？”的具体信息。
249,内蒙古君正能源化工股份有限公司的注册时间是什么日期？注册资本是多少元？,"内蒙古君正能源化工股份有限公司的注册时间为2008年9月23日，注册资本为52,000万元。"
258,昇兴集团股份有限公司因租赁厂房存在经营风险的下属企业是什么？,根据给定材料，昇兴集团股份有限公司不存在租赁厂房存在经营风险的下属企业。
259,报告期内，华瑞电器股份有限公司人工成本占主营业务成本的比例分别为多少？,华瑞电器股份有限公司的人工成本占主营业务成本的比例分别为16.74%、19.01%和19.49%。
261,内蒙古君正能源化工股份有限公司的董事会成员是谁？,内蒙古君正能源化工股份有限公司的董事会成员包括杜江涛、李京文、武峰、王国强、云文明、撖小平、孙明。(完整内容)
262,报告期内，深圳市超频三科技股份有限公司制造费用占主营业务成本比例分别为多少？,根据给定材料，深圳市超频三科技股份有限公司制造费用占主营业务成本比例分别为14.91%、16.24%和16.18%。
265,西安启源机电装备股份有限公司控股子公司是谁？公司持有其多少的股份？,西安启源机电装备股份有限公司的控股子公司是中机工程(西安)启源工程有限公司，公司持有其50.98%的股份。
267,确成硅化学股份有限公司的子公司无锡东沃经营范围是？,无锡东沃经营范围是生产硫酸；生产中压蒸汽、电。
272,窦剑文先生持有兰州海默科技股份有限公司多少股权？,窦剑文先生持有兰州海默科技股份有限公司30.724%的股权。
277,截至2014年12月31日，读者出版传媒股份有限公司共有员工多少人？,读者出版传媒股份有限公司在2014年12月31日共有572名员工。
279,2020年10月6日，上海真兰仪表科技股份有限公司的注册资本由多少增加到多少？,"2020年10月6日，上海真兰仪表科技股份有限公司的注册资本由5,200万元增加到20,800万元。"
280,华瑞股份发生了几次股权转让？,"华瑞股份发生了2次股权转让。

 第一次是在2014年7月8日，基石投资分别与联创投资、孙瑞良签署《股权转让协议》，基石投资将其持有的华瑞股份7.69%的股权（股份577万股）作价2,336.33万元转让给联创投资，3.85%的股权（股份288.5万股）作价1,168.16万元转让给孙瑞良。上述转让价格均为 4.05 元/股，该价格主要参考公司每股净资产、投资者自身需求并适当溢价，由股东之间协商确定。2014 年 9 月 24 日，华瑞股份在宁波市市场监督管理局完成了工商变更登记手续。本次股权转让后，华瑞股份股权结构如下：
 第二次是在2014年12月22日，股东史灵虎与孙瑞良签署《股权转让协议》，史灵虎将其持有的华瑞股份 0.65%的股权（股份 48.75 万股）作价 127.00 万元转让给孙瑞良；2014年12月24日，股东彭忠分别与罗雪荣、徐华锵签署《股权转让协议》，彭忠分别将其持有的华瑞股份 0.13%的股权（股份 9.60 万股）作价 25.40 万元转让给罗雪荣，0.19%的股权（股份14.40万股）作价38.10万元转让给徐华锵；2014年12月25日，股东昌概运与孙瑞良签署《股权转让协议》，昌概运将其持有的华瑞股份0.39%的股权（股份29.25 万股）作价 76.20万元转让给孙瑞良，股东罗刚与李国法签署《股权转让协议》，罗刚将其持有的华瑞股份 0.32%的股权（股份 24.00 万股）作价 63.50"
285,湖南长远锂科股份有限公司在高效电池正极材料领域的技术水平如何？掌握了哪些技术？,湖南长远锂科股份有限公司在高效电池正极材料领域具备行业领先的技术水平。公司围绕高效电池正极材料，研发并掌握了三元前驱体共沉淀技术、高电压 NCM 制备技术、高电压钴酸锂制备技术等多项核心技术。截至 2020 年 12 月 31 日取得了 51 项专利。
286,浙江开尔新材料股份有限公司实际控制人承诺如何处理因未执行社会保险及住房公积金制度而产生的损失或义务？,实际控制人邢翰学、吴剑鸣、邢翰科于2010年9月17日承诺：如因发行人或子公司未执行社会保险及住房公积金制度而产生的损失或义务，将由其承担，保证发行人和子公司不因此遭受任何损失。
287,报告期内，山东海看网络科技有限公司的IPTV用户数量如何变化？截至报告期各期末IPTV业务用户数为多少？,"报告期内，山东海看网络科技有限公司的IPTV用户数量逐年增长。截至2020年末、2021年末和2022年末，IPTV业务用户数分别为1,482.12万户、1,546.07万户和1,649.73万户。"
